id,holdingid,userid
1,1,26230
2,1,56126
3,1,56373
4,2,16185
5,2,31059
6,2,56107
7,1,82657
8,2,82650
9,2,82654
10,2,82656
11,2,82664
12,3,31043
13,3,89281
14,3,31053
15,4,54790
16,4,54789
17,4,61934
18,5,107496
19,6,5619
20,7,31788
21,8,126814
22,9,130503
23,10,139808
24,11,92743
25,12,2842
26,13,89151
27,14,143628
28,15,168294
29,16,182844
30,5,177269
31,18,69699
32,11,19671
33,10,19671
34,19,201987
35,20,204985
36,21,190834
37,22,134306
38,22,4678
39,23,81291
40,24,206773
41,24,206774
42,22,57801
43,25,32174
44,26,201987
45,27,19671
46,28,2842
47,29,40092
48,30,176632
49,30,177642
50,31,13008
51,32,153988
52,33,176632
53,34,162718
54,34,268618
55,35,269479
56,36,269196
57,36,270947
58,37,60653
59,38,95798
60,31,274366
61,39,57827
62,39,52755
63,40,192088
64,41,39166
65,42,2865
66,42,2866
67,42,2867
68,42,2868
69,42,2869
70,42,2870
71,42,2872
72,42,2873
73,42,2874
74,42,2875
75,42,2876
76,42,27413
77,42,30645
78,42,126590
79,43,214877
80,44,49322
81,44,299802
82,44,49315
83,45,71966
84,46,69053
85,47,204856
86,47,55718
87,47,191025
88,48,176882
89,49,186628
90,50,176882
91,51,6667
92,52,75463
93,52,60323
94,52,29617
95,53,360006
96,54,46875
97,55,52863
98,56,52770
99,57,52946
100,58,92792
101,59,57799
102,16,2
103,60,175986
104,61,19471
105,62,393068
106,63,57801
107,64,75463
108,64,60323
109,64,29617
110,65,216341
111,66,273120
112,67,27988
113,68,413705
114,68,165292
115,69,148622
116,70,427490
117,71,422194
118,72,394634
119,73,109848
120,75,90107
121,75,378699
122,76,51345
123,76,26694
124,77,109848
125,78,176274
126,78,79497
127,79,209559
128,80,378702
129,81,146948
130,82,449277
131,83,200601
132,84,362987
133,85,192071
134,85,192063
135,86,33546
136,87,87741
137,4,102819
138,88,81291
139,89,489248
141,90,287048
142,91,514915
143,92,507389
144,93,77033
145,91,409824
146,94,152822
147,94,274051
148,15,525492
149,95,163141
150,96,190834
151,96,190837
152,97,52885
153,98,151435
154,99,20081
155,100,51572
156,100,31857
157,101,274051
160,4,596455
161,4,290905
162,103,188288
163,102,518528
165,104,465015
166,105,47073
167,106,154745
168,107,35300
169,108,618677
170,109,572549
171,110,626337
172,110,626348
173,110,130851
174,111,219184
175,112,189281
176,114,35147
177,115,390877
178,116,292052
179,116,330169
180,116,679430
181,116,798022
182,116,814
183,116,817001
184,116,698394
185,116,827725
186,117,227681
187,119,19281
188,120,710029
189,121,845094
190,121,358246
191,122,443554
192,123,202738
193,124,146948
194,125,83742
195,126,146948
196,129,989721
197,130,29617
198,130,2276
199,131,176652
200,131,69636
201,132,23549
202,133,31174
203,134,517705
204,134,517707
205,135,37844
206,136,1070301
207,136,1278290
208,137,1329231
209,83,450619
210,83,988755
214,140,31602
215,141,594041
216,142,1207386
217,143,935249
218,144,559175
219,145,459211
220,146,202738
221,147,1458992
222,147,388568
223,148,683289
224,149,776847
225,86,893393
226,150,1585635
227,151,1281429
228,151,11883
229,152,152677
230,153,1619967
231,154,152677
232,155,626939
234,157,1681244
235,158,1656416
236,158,842778
237,159,96764
238,159,639011
239,159,1729044
240,158,1738492
241,160,377596
242,161,1281429
243,162,153981
244,163,434128
245,163,112868
246,164,121592
247,165,1793196
248,166,1499485
249,116,735789
250,116,510600
251,167,182825
252,168,1543980
253,169,546337
254,170,314230
255,171,1502282
256,172,1338098
258,170,137960
259,173,763871
261,158,23356
262,175,599230
263,175,177505
264,176,779078
265,177,367678
266,178,126406
267,179,83135
268,179,365537
269,180,202590
270,180,627518
271,180,1918567
272,180,1919528
273,180,1919527
274,181,1890380
275,161,1690898
